name,mail_from,subject,message
venky@gmail.com,anjali@gmail.com,Meeting Reminder,"Hi Team, just a reminder that we have a meeting tomorrow at 10 AM in the main conference room."
anjali@gmail.com,nidhi@gmail.com,Project Update,"Hello, the latest project updates have been uploaded to the shared drive. Please review and share your feedback."
anjali@gmail.com,venky@gmail.com,Thank You,Thank you for your support during the presentation. It was great working with you.
anjali@gmail.com,john@gmail.com,Job Application,"Dear Hiring Manager, I am writing to apply for the Software Engineer position at your company. Please find my resume attached."
john@gmail.com,anjali@gmail.com,Welcome Email,Welcome to our platform! We are excited to have you on board. Please complete your profile to get started.
john@gmail.com,venky@gmail.com,Event Invitation,You are invited to the Annual Tech Conference on 5th September. Kindly RSVP by 1st September.
nidhi@gmail.com,john@gmail.com,Vacation Request,"Hi Manager, I would like to request leave from 10th to 15th September due to personal reasons."
venky@gmail.com,anjali@gmail.com,Weekly Sync,"Hi Venky, please find the agenda for this week's sync attached."
anjali@gmail.com,venky@gmail.com,Re: Weekly Sync,"Thanks Anjali, I have reviewed the agenda and added a few points."
anjali@gmail.com,nidhi@gmail.com,Invoice Reminder,"Hello Anjali, just a reminder to review and approve the attached invoice."
nidhi@gmail.com,anjali@gmail.com,Invoice Approved,"Hi Nidhi, I have reviewed and approved the invoice. Thanks!"
anjali@gmail.com,john@gmail.com,Team Outing,"Hi Anjali, we are planning a team outing next Friday. RSVP if you can join."
john@gmail.com,anjali@gmail.com,Re: Team Outing,"Thanks John, I will join the outing."
john@gmail.com,venky@gmail.com,Project Launch,"Hi John, the project launch is scheduled for next Monday. Let's ensure all tasks are completed."
venky@gmail.com,nidhi@gmail.com,Meeting Follow-up,"Hi Venky, here are the minutes from our last meeting. Please review and share your feedback."
venky@gmail.com,john@gmail.com,Code Deployment,"Hi Venky, the latest code has been deployed to the staging server."
john@gmail.com,anjali@gmail.com,Re: Code Deployment,"Thanks John, I will verify the deployment and run tests."
anjali@gmail.com,nidhi@gmail.com,New Requirements,"Hi Anjali, the client shared new requirements. Please update the backlog."
nidhi@gmail.com,venky@gmail.com,Re: New Requirements,"Thanks Nidhi, I will schedule a meeting to discuss these."
anjali@gmail.com,john@gmail.com,Weekly Report,"Hi Anjali, please send me your weekly progress report by EOD."
nidhi@gmail.com,anjali@gmail.com,Team Feedback,"Hi Nidhi, here is the feedback from the team regarding the last sprint."
anjali@gmail.com,venky@gmail.com,Server Maintenance,"Hi Anjali, the server maintenance is scheduled for Saturday at 2 AM."
john@gmail.com,nidhi@gmail.com,Client Presentation,"Hi John, please prepare slides for the client presentation next week."
venky@gmail.com,anjali@gmail.com,Re: Client Presentation,"Thanks Venky, I will review the slides and provide feedback."
nidhi@gmail.com,john@gmail.com,Budget Discussion,"Hi Nidhi, let's discuss the Q1 budget tomorrow at 11 AM."
venky@gmail.com,anjali@gmail.com,Sprint Planning,"Hi Venky, let's schedule the sprint planning meeting for Monday."
anjali@gmail.com,venky@gmail.com,Re: Sprint Planning,"Thanks Anjali, Monday works for me. What time are we planning?"
john@gmail.com,nidhi@gmail.com,Follow-up: Client Call,"Hi John, following up on our client call yesterday. Please review notes."
nidhi@gmail.com,john@gmail.com,Re: Follow-up: Client Call,"Thanks Nidhi, I will review and update the action items."
nidhi@gmail.com,anjali@gmail.com,New Feature Proposal,"Hi Nidhi, I have drafted a new feature proposal. Kindly review."
anjali@gmail.com,nidhi@gmail.com,Re: New Feature Proposal,"Thanks Anjali, I will go through it and share feedback."
john@gmail.com,venky@gmail.com,Server Downtime,"Hi John, the server will be down for maintenance tonight from 11 PM to 1 AM."
venky@gmail.com,john@gmail.com,Re: Server Downtime,"Thanks Venky, noted. I will inform the team."
john@gmail.com,anjali@gmail.com,Weekly Summary,"Hi John, here is the weekly summary of tasks completed by the team."
anjali@gmail.com,john@gmail.com,Re: Weekly Summary,"Thanks Anjali, looks good. Please share with management."
venky@gmail.com,nidhi@gmail.com,Client Feedback,"Hi Venky, the client has provided feedback on the last deliverable."
nidhi@gmail.com,venky@gmail.com,Re: Client Feedback,"Thanks Nidhi, I will incorporate their feedback."
venky@gmail.com,anjali@gmail.com,Code Review,"Hi Venky, please review the latest code pushed to GitHub."
anjali@gmail.com,venky@gmail.com,Re: Code Review,"Thanks Anjali, I will review and comment."
anjali@gmail.com,john@gmail.com,Task Assignment,"Hi Anjali, please take ownership of the UI updates."
john@gmail.com,anjali@gmail.com,Re: Task Assignment,"Sure John, I will start today."
anjali@gmail.com,nidhi@gmail.com,Bug Report,"Hi Anjali, I found a bug in the latest build. Kindly check."
nidhi@gmail.com,anjali@gmail.com,Re: Bug Report,"Thanks Nidhi, I will fix it today."
nidhi@gmail.com,venky@gmail.com,Meeting Schedule,"Hi Nidhi, let's meet tomorrow at 3 PM to discuss progress."
venky@gmail.com,nidhi@gmail.com,Re: Meeting Schedule,"Confirmed Venky, see you at 3 PM."
john@gmail.com,anjali@gmail.com,Client Onboarding,"Hi John, client onboarding session is scheduled for next Thursday."
anjali@gmail.com,john@gmail.com,Re: Client Onboarding,"Thanks Anjali, I will join the session."
